dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,2.700000000000000000e+02,5.170143082896679910e-26,-9.402849493969749919e-29,-5.160740233092407202e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.710000000000000000e+02,6.310534274781627272e-26,-1.153426966053325379e-28,-6.299000005530138501e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.720000000000000000e+02,6.899453444767772497e-26,-1.314903580155486862e-28,-6.886304409045214522e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.730000000000000000e+02,5.829955386264623082e-26,-1.198850570198206797e-28,-5.817966880417219506e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.740000000000000000e+02,4.917902845809277433e-26,-1.088254354442979590e-28,-4.907020302223172689e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.750000000000000000e+02,4.134367496190801585e-26,-9.850037211735714407e-29,-4.124517458694210528e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.760000000000000000e+02,3.420391257494754021e-26,-8.826472087116578231e-29,-3.411564785559762942e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.770000000000000000e+02,2.830632769044404161e-26,-7.899871372016173172e-29,-2.822732898116844239e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.780000000000000000e+02,2.344703081399971067e-26,-7.062802334113512866e-29,-2.337640279209699492e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.790000000000000000e+02,1.943588859843751826e-26,-6.307972957367397278e-29,-1.937280887376583941e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+02,1.611785380080626478e-26,-5.628196086160185404e-29,-1.606157183846629511e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.810000000000000000e+02,1.338033094126757830e-26,-5.017143819368586617e-29,-1.333015950325131861e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.820000000000000000e+02,1.111565256739506744e-26,-4.468540566717903673e-29,-1.107096716489951910e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.830000000000000000e+02,9.243604930803874445e-27,-3.976602933764846940e-29,-9.203838901072619039e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.840000000000000000e+02,7.693926038595745440e-27,-3.536250480348005798e-29,-7.658563533330241001e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.850000000000000000e+02,6.393181554216280496e-27,-3.142354908367730401e-29,-6.361758009021285441e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.860000000000000000e+02,5.334135692660574928e-27,-2.790572362847049723e-29,-5.306229966842562531e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.870000000000000000e+02,4.442646404323508338e-27,-2.476607929616301359e-29,-4.417880323482304937e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.880000000000000000e+02,3.737545666924011091e-27,-2.196783599699220050e-29,-3.715577829884318667e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.890000000000000000e+02,3.096747836377997342e-27,-1.947579094357623872e-29,-3.077272050371313706e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+02,1.788449313088848799e-27,-2.304339805740462143e-29,-1.765405910379057942e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.910000000000000000e+02,1.461133655143287139e-27,-2.059152809665861367e-29,-1.440542123753040291e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.920000000000000000e+02,1.194175696745442486e-27,-1.838550458527310715e-29,-1.175790191717338616e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.930000000000000000e+02,9.747113693877125832e-28,-1.640557720769160555e-29,-9.583057925648117066e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.940000000000000000e+02,8.010674612456002587e-28,-1.467443672716130929e-29,-7.863930246088050776e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.950000000000000000e+02,6.583258273034413548e-28,-1.314392600851891625e-29,-6.451818971007953290e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.960000000000000000e+02,5.437512498171549668e-28,-1.176500359697644651e-29,-5.319862493435037446e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.970000000000000000e+02,4.473312403030471902e-28,-1.052271711659670624e-29,-4.368085188103054211e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.980000000000000000e+02,3.713834387820693198e-28,-9.405088434779462854e-30,-3.619783524916486923e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.990000000000000000e+02,3.061852573754063399e-28,-8.400196179873265126e-30,-2.977850611446562099e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+02,2.507888496609280721e-28,-7.497102007581346125e-30,-2.432917460552254219e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.010000000000000000e+02,2.085511055131703925e-28,-6.686644809944431863e-30,-2.018644633207212722e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.020000000000000000e+02,1.723783855941865481e-28,-5.959966907890658176e-30,-1.664184208438790367e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.030000000000000000e+02,1.434342164057537825e-28,-5.309306584036903495e-30,-1.381249090315642701e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.040000000000000000e+02,1.187208940079644394e-28,-4.727017976070224363e-30,-1.139938734968671791e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.050000000000000000e+02,9.794274602463754460e-29,-4.205206130200305260e-30,-9.373753817637877722e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.060000000000000000e+02,8.143849538474220317e-29,-3.739919401761666288e-30,-7.769857415545416333e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.070000000000000000e+02,6.662237048935088364e-29,-3.322002235169131174e-30,-6.330037003946379778e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.080000000000000000e+02,5.592203612601907786e-29,-2.951386730195576575e-30,-5.297065080127393449e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.090000000000000000e+02,4.746375505185244407e-29,-2.619710982062489225e-30,-4.484404495618616377e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+02,3.918131138160836492e-29,-2.324519818738595140e-30,-3.685679217963696197e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.110000000000000000e+02,3.191543973985370716e-29,-2.061440369647424732e-30,-2.985400256828560063e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.120000000000000000e+02,2.716682473925500497e-29,-1.827113870535802491e-30,-2.533970703807698673e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.130000000000000000e+02,2.212994015569906704e-29,-1.618899143554484132e-30,-2.051103955563361384e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.140000000000000000e+02,1.788662296866573723e-29,-1.434018408492426229e-30,-1.645260562473038246e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.150000000000000000e+02,1.439051243327496903e-29,-1.269535917432276061e-30,-1.312097552512136042e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.160000000000000000e+02,1.310068103833237992e-29,-1.123169512744101452e-30,-1.197751480595220123e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.170000000000000000e+02,1.072111635113795929e-29,-9.932789614059848152e-31,-9.727842056444547243e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.180000000000000000e+02,9.774925025053738950e-30,-8.788189139241551522e-31,-8.896105135836614600e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.190000000000000000e+02,7.593032972526363242e-30,-7.766632521731700253e-31,-6.816371629796829333e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+02,6.506766354174428750e-30,-6.866410563356839967e-31,-5.820124180751769487e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.210000000000000000e+02,5.243452607153621392e-30,-6.069150878834213569e-31,-4.636537914897517484e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000000e+02,4.918987578304058042e-30,-5.358011095307834714e-31,-4.383181830713376607e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.230000000000000000e+02,4.520091375635004236e-30,-4.729791851435971148e-31,-4.047113073948880161e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000000e+02,2.537906221278432466e-30,-4.175416813707878284e-31,-2.120364609335279733e-30,0.000000000000000000e+00
