dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,1.980000000000000000e+02,6.819546709878451460e-11
0.000000000000000000e+00,1.990000000000000000e+02,6.569251840555652230e-11
0.000000000000000000e+00,2.000000000000000000e+02,6.307103669499773099e-11
0.000000000000000000e+00,2.010000000000000000e+02,6.032826579751879479e-11
0.000000000000000000e+00,2.020000000000000000e+02,5.746258201976514999e-11
0.000000000000000000e+00,2.030000000000000000e+02,5.447392970658875584e-11
0.000000000000000000e+00,2.040000000000000000e+02,5.136433937024974011e-11
0.000000000000000000e+00,2.050000000000000000e+02,4.813845563993242349e-11
0.000000000000000000e+00,2.060000000000000000e+02,4.480421458311425771e-11
0.000000000000000000e+00,2.070000000000000000e+02,4.137361200052305541e-11
0.000000000000000000e+00,2.080000000000000000e+02,3.786350732058206082e-11
0.000000000000000000e+00,2.090000000000000000e+02,3.429642198373920247e-11
0.000000000000000000e+00,2.100000000000000000e+02,3.070124085236161220e-11
0.000000000000000000e+00,2.110000000000000000e+02,2.711367980754274852e-11
0.000000000000000000e+00,2.120000000000000000e+02,2.357633386549071086e-11
0.000000000000000000e+00,2.130000000000000000e+02,2.013807985005571440e-11
0.000000000000000000e+00,2.140000000000000000e+02,1.685258676406148631e-11
0.000000000000000000e+00,2.150000000000000000e+02,1.377572757251917036e-11
0.000000000000000000e+00,2.160000000000000000e+02,1.096181069194590405e-11
0.000000000000000000e+00,2.170000000000000000e+02,8.458784336907259367e-12
0.000000000000000000e+00,2.180000000000000000e+02,6.302910146939848489e-12
0.000000000000000000e+00,2.190000000000000000e+02,4.513779694659721164e-12
0.000000000000000000e+00,2.200000000000000000e+02,3.090822851645647132e-12
0.000000000000000000e+00,2.210000000000000000e+02,2.012443262324456079e-12
0.000000000000000000e+00,2.220000000000000000e+02,1.238470687153475205e-12
0.000000000000000000e+00,2.230000000000000000e+02,7.157680128927141460e-13
0.000000000000000000e+00,2.240000000000000000e+02,3.858372485163432540e-13
0.000000000000000000e+00,2.250000000000000000e+02,1.925738224722301238e-13
0.000000000000000000e+00,2.260000000000000000e+02,8.829591599947584605e-14
0.000000000000000000e+00,2.270000000000000000e+02,3.687801368684082586e-14
0.000000000000000000e+00,2.280000000000000000e+02,1.390346004056013355e-14
