Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,66.0,300.0,232.0,9.999999999999998e-21,1.0,0.012969423400687985,0.2499999999907586,0.23703057660855395,0.4999999999999997
0.0,67.0,300.0,234.0,9.999999999999998e-21,1.0,0.017336867204595624,0.24999999998502578,0.232663132810379,0.49999999999999967
0.0,68.0,300.0,236.0,9.999999999999998e-21,1.0,0.022948541158730643,0.2499999999759315,0.22705145886533842,0.4999999999999997
0.0,69.0,300.0,238.0,9.999999999999998e-21,1.0,0.030049366262100873,0.24999999996161604,0.2199506337762836,0.4999999999999995
0.0,70.0,300.0,240.0,9.999999999999998e-21,1.0,0.038878556813159416,0.24999999993925232,0.21112144324758877,0.4999999999999996
0.0,71.0,300.0,242.0,9.999999999999998e-21,1.0,0.049640122456724535,0.2499999999045728,0.2003598776387032,0.49999999999999956
0.0,72.0,300.0,244.0,9.999999999999998e-21,1.0,0.062465054236283055,0.249999999851181,0.18753494591253658,0.4999999999999996
0.0,73.0,300.0,246.0,9.999999999999998e-21,1.0,0.07736962569923489,0.24999999976955584,0.17263037453120986,0.4999999999999995
0.0,74.0,300.0,248.0,9.999999999999998e-21,1.0,0.09421738865223252,0.24999999964562067,0.15578261170214733,0.49999999999999956
0.0,75.0,300.0,250.0,9.999999999999998e-21,1.0,0.11269397459243526,0.2499999994586991,0.13730602594886607,0.4999999999999996
0.0,76.0,300.0,252.0,9.999999999999998e-21,1.0,0.13230212154887497,0.2499999991786155,0.11769787927250999,0.49999999999999967
0.0,77.0,300.0,254.0,9.999999999999998e-21,1.0,0.15238175803529985,0.24999999876160522,0.09761824320309546,0.4999999999999998
0.0,78.0,300.0,256.0,9.999999999999998e-21,1.0,0.17215448337578493,0.2499999981445815,0.07784551847963396,0.4999999999999997
0.0,79.0,300.0,258.0,9.999999999999998e-21,1.0,0.1907891448973269,0.24999999723714558,0.05921085786552798,0.4999999999999996
0.0,80.0,300.0,260.0,9.999999999999998e-21,1.0,0.20748499830479405,0.2499999959105134,0.042515005784692986,0.4999999999999996
0.0,81.0,300.0,262.0,9.999999999999998e-21,1.0,0.22156924703340125,0.24999999398225659,0.0284307589843426,0.49999999999999967
0.0,82.0,300.0,264.0,9.999999999999998e-21,1.0,0.2326032909946793,0.2499999911953874,0.01739671780993376,0.49999999999999967
0.0,83.0,300.0,266.0,9.999999999999998e-21,1.0,0.24048019862432485,0.24999998718984304,0.009519814185832542,0.4999999999999996
0.0,84.0,300.0,268.0,9.999999999999998e-21,1.0,0.24547542806727204,0.24999998146380956,0.004524590468918679,0.49999999999999967
0.0,85.0,300.0,270.0,9.999999999999998e-21,1.0,0.2481991236144984,0.24999997332152807,0.001800903063973857,0.4999999999999997
0.0,86.0,300.0,272.0,9.999999999999998e-21,1.0,0.24942581099953556,0.24999996180320633,0.0005742271972584586,0.4999999999999997
0.0,87.0,300.0,274.0,9.999999999999998e-21,1.0,0.2498609628216634,0.24999994559135677,0.0001390915869801218,0.4999999999999996
0.0,88.0,300.0,276.0,9.999999999999998e-21,1.0,0.2499760462170594,0.24999992288621792,2.4030896723063322e-05,0.49999999999999967
0.0,89.0,300.0,278.0,9.999999999999998e-21,1.0,0.2499973610834363,0.24999989124082156,2.7476757425377396e-06,0.49999999999999983
0.0,90.0,300.0,280.0,9.999999999999998e-21,1.0,0.24999996250362594,0.24999984734361577,1.901527585416742e-07,0.49999999999999983
0.0,91.0,300.0,282.0,9.999999999999998e-21,1.0,0.2500002061072722,0.24999978673322942,7.159498531541092e-09,0.49999999999999983
0.0,92.0,300.0,284.0,9.999999999999998e-21,1.0,0.25000029644493815,0.24999970342580888,1.292530272105668e-10,0.49999999999999994
0.0,93.0,300.0,286.0,9.999999999999998e-21,1.0,0.2500004105688462,0.24999958943018202,9.720084161308878e-13,0.49999999999999983
0.0,94.0,300.0,288.0,9.999999999999998e-21,1.0,0.25000056588028646,0.24999943411968514,2.856007846646635e-14,0.4999999999999998
0.0,95.0,300.0,290.0,9.999999999999998e-21,1.0,0.25000077657840913,0.2499992234215713,1.9784784079958274e-14,0.49999999999999983
0.0,96.0,300.0,292.0,9.999999999999998e-21,1.0,0.25000106122473786,0.24999893877524484,1.755604939655804e-14,0.49999999999999983
0.0,97.0,300.0,294.0,9.999999999999998e-21,1.0,0.25000144420185777,0.24999855579812785,1.465510459769438e-14,0.4999999999999997
0.0,98.0,300.0,296.0,9.999999999999998e-21,1.0,0.25000195741557535,0.24999804258441258,1.2260562888455873e-14,0.4999999999999998
0.0,99.0,300.0,298.0,9.999999999999998e-21,1.0,0.2500026424569825,0.24999735754300753,1.0284626833380996e-14,0.49999999999999956
0.0,100.0,300.0,300.0,9.999999999999998e-21,1.0,0.25000355333978636,0.24999644666020562,8.6494671846827e-15,0.49999999999999956
0.0,101.0,300.0,302.0,9.999999999999998e-21,1.0,0.2500047599537188,0.24999524004627427,7.292282868695365e-15,0.4999999999999997
0.0,102.0,300.0,304.0,9.999999999999998e-21,1.0,0.2500063524060165,0.24999364759397802,6.162688266210887e-15,0.4999999999999993
