Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,206.0,300.0,512.0,9.999999999999998e-21,1.0,0.9882755864791386,0.01172441352001383,8.474554033058747e-13,0.0
0.0,207.0,300.0,514.0,9.999999999999998e-21,1.0,0.9899194361212109,0.010080563877999521,7.896776050570374e-13,0.0
0.0,208.0,300.0,516.0,9.999999999999998e-21,1.0,0.9914326472496974,0.008567352749568746,7.339783860032365e-13,0.0
0.0,209.0,300.0,518.0,9.999999999999998e-21,1.0,0.9928123141791101,0.0071876858202094464,6.80456445042355e-13,0.0
0.0,210.0,300.0,520.0,9.999999999999998e-21,1.0,0.9940564816049173,0.005943518394453271,6.292073459344227e-13,0.0
0.0,211.0,300.0,522.0,9.999999999999998e-21,1.0,0.9951644051281044,0.004835594871315123,5.803199006521724e-13,0.0
0.0,212.0,300.0,524.0,9.999999999999998e-21,1.0,0.9961368257583008,0.0038631742411654496,5.338727186310784e-13,0.0
0.0,213.0,300.0,526.0,9.999999999999998e-21,1.0,0.9969762377738688,0.0030237622256413304,4.899346216943676e-13,0.0
0.0,214.0,300.0,528.0,9.999999999999998e-21,1.0,0.9976871203727976,0.002312879626753845,4.485590037395973e-13,0.0
0.0,215.0,300.0,530.0,9.999999999999998e-21,1.0,0.9982760932217563,0.0017239067778341412,4.0977847255759786e-13,0.0
0.0,216.0,300.0,532.0,9.999999999999998e-21,1.0,0.9987519495309366,0.0012480504686896911,3.7360881267854165e-13,0.0
0.0,217.0,300.0,534.0,9.999999999999998e-21,1.0,0.9991255208687789,0.000874479130880995,3.4003991141776173e-13,0.0
0.0,218.0,300.0,536.0,9.999999999999998e-21,1.0,0.999409339687939,0.0005906603117519179,3.0903527355276695e-13,0.0
0.0,219.0,300.0,538.0,9.999999999999998e-21,1.0,0.9996170927352331,0.00038290726448632275,2.805314310984613e-13,0.0
0.0,220.0,300.0,540.0,9.999999999999998e-21,1.0,0.9997628994447064,0.00023710055503937578,2.5443877313387945e-13,0.0
0.0,221.0,300.0,542.0,9.999999999999998e-21,1.0,0.999860496545564,0.00013950345420551063,2.3064581539649453e-13,0.0
0.0,222.0,300.0,544.0,9.999999999999998e-21,1.0,0.9999224485299443,7.755146984677878e-05,2.090223979370289e-13,0.0
0.0,223.0,300.0,546.0,9.999999999999998e-21,1.0,0.9999595155878866,4.048441192405091e-05,1.8942536037336883e-13,0.0
0.0,224.0,300.0,548.0,9.999999999999998e-21,1.0,0.9999802845343391,1.9715465489248564e-05,1.7170378830815097e-13,0.0
0.0,225.0,300.0,550.0,9.999999999999998e-21,1.0,0.9999911070078886,8.892991955954667e-06,1.5570259116816884e-13,0.0
0.0,226.0,300.0,552.0,9.999999999999998e-21,1.0,0.9999963131089857,3.6868908729324115e-06,1.4126569140719055e-13,0.0
0.0,227.0,300.0,554.0,9.999999999999998e-21,1.0,0.9999986067871703,1.3932127015593552e-06,1.282425986985544e-13,0.0
0.0,228.0,300.0,556.0,9.999999999999998e-21,1.0,0.999999524459166,4.755407176889642e-07,1.1649428649285605e-13,0.0
0.0,229.0,300.0,558.0,9.999999999999998e-21,1.0,0.9999998548215954,1.451782991021583e-07,1.0589308178408224e-13,0.0
0.0,230.0,300.0,560.0,9.999999999999998e-21,1.0,0.9999999607783882,3.9221515630333795e-08,9.632172181067646e-14,0.0
0.0,231.0,300.0,562.0,9.999999999999998e-21,1.0,0.9999999907312974,9.26861477614947e-09,8.767475805511124e-14,0.0
0.0,232.0,300.0,564.0,9.999999999999998e-21,1.0,0.9999999981079968,1.8919234859661287e-09,7.985773558617534e-14,0.0
0.0,233.0,300.0,566.0,9.999999999999998e-21,1.0,0.9999999996707547,3.2917265436624084e-10,7.278594981272278e-14,0.0
0.0,234.0,300.0,568.0,9.999999999999998e-21,1.0,0.9999999999518625,4.807106039307504e-11,6.638395413523421e-14,0.0
0.0,235.0,300.0,570.0,9.999999999999998e-21,1.0,0.9999999999941452,5.794240602516052e-12,6.058461921049396e-14,0.0
0.0,236.0,300.0,572.0,9.999999999999998e-21,1.0,0.9999999999994145,5.304060369393192e-13,5.532887183697795e-14,0.0
0.0,237.0,300.0,574.0,9.999999999999998e-21,1.0,0.9999999999999117,3.758790639310334e-14,5.056043927049222e-14,0.0
0.0,238.0,300.0,576.0,9.999999999999998e-21,1.0,0.9999999999999516,2.372363323533093e-15,4.622853040185338e-14,0.0
0.0,239.0,300.0,578.0,9.999999999999998e-21,1.0,0.9999999999999578,0.0,4.230290604442033e-14,0.0
0.0,240.0,300.0,580.0,9.999999999999998e-21,1.0,0.9999999999999614,1.3274832122465673e-18,3.8729875957977897e-14,0.0
0.0,241.0,300.0,582.0,9.999999999999998e-21,1.0,0.9999999999999647,1.4455766165507006e-18,3.5479978701002356e-14,0.0
0.0,242.0,300.0,584.0,9.999999999999998e-21,1.0,0.9999999999999675,1.404088827704167e-18,3.252244727870259e-14,0.0
0.0,243.0,300.0,586.0,9.999999999999998e-21,1.0,0.9999999999999701,1.3453442638101846e-18,2.98293147279273e-14,0.0
0.0,244.0,300.0,588.0,9.999999999999998e-21,1.0,0.9999999999999728,1.2872727505115207e-18,2.7375438246627697e-14,0.0
0.0,245.0,300.0,590.0,9.999999999999998e-21,1.0,0.9999999999999749,1.231855877883032e-18,2.5138199224613445e-14,0.0
0.0,246.0,300.0,592.0,9.999999999999998e-21,1.0,0.9999999999999769,1.1789407745035328e-18,2.3097183049790363e-14,0.0
0.0,247.0,300.0,594.0,9.999999999999998e-21,1.0,0.9999999999999789,1.1286201088998338e-18,2.123412839400592e-14,0.0
0.0,248.0,300.0,596.0,9.999999999999998e-21,1.0,0.9999999999999805,1.0803380430854894e-18,1.953235652274879e-14,0.0
0.0,249.0,300.0,598.0,9.999999999999998e-21,1.0,0.9999999999999823,1.0349589878252784e-18,1.7977302760749266e-14,0.0
0.0,250.0,300.0,600.0,9.999999999999998e-21,1.0,0.9999999999999833,9.91857394828719e-19,1.6555311645222277e-14,0.0
0.0,251.0,300.0,602.0,9.999999999999998e-21,1.0,0.9999999999999849,9.508715559856731e-19,1.5254241740569906e-14,0.0
0.0,252.0,300.0,604.0,9.999999999999998e-21,1.0,0.9999999999999862,9.118773896986775e-19,1.406312617503915e-14,0.0
0.0,253.0,300.0,606.0,9.999999999999998e-21,1.0,0.999999999999987,8.747608972086339e-19,1.2972052569818968e-14,0.0
0.0,254.0,300.0,608.0,9.999999999999998e-21,1.0,0.999999999999988,8.394160075470653e-19,1.197205599284315e-14,0.0
0.0,255.0,300.0,610.0,9.999999999999998e-21,1.0,0.999999999999989,8.057438480454394e-19,1.1055023350289804e-14,0.0
0.0,256.0,300.0,612.0,9.999999999999998e-21,1.0,0.9999999999999899,7.736521512397483e-19,1.0213607961275301e-14,0.0
0.0,257.0,300.0,614.0,9.999999999999998e-21,1.0,0.9999999999999906,7.430547174899327e-19,9.441153134181537e-15,0.0
0.0,258.0,300.0,616.0,9.999999999999998e-21,1.0,0.9999999999999913,7.138709331553427e-19,8.731623776701153e-15,0.0
0.0,259.0,300.0,618.0,9.999999999999998e-21,1.0,0.999999999999992,6.860253272420256e-19,8.079545114925081e-15,0.0
0.0,260.0,300.0,620.0,9.999999999999998e-21,1.0,0.9999999999999926,6.594471751715458e-19,7.47994779415871e-15,0.0
0.0,261.0,300.0,622.0,9.999999999999998e-21,1.0,0.9999999999999931,6.340701351654865e-19,6.928318619654901e-15,0.0
0.0,262.0,300.0,624.0,9.999999999999998e-21,1.0,0.9999999999999938,6.098319200771819e-19,6.420556345019476e-15,0.0
0.0,263.0,300.0,626.0,9.999999999999998e-21,1.0,0.9999999999999942,5.8667399883990455e-19,5.952931979753242e-15,0.0
0.0,264.0,300.0,628.0,9.999999999999998e-21,1.0,0.9999999999999944,5.645413196140128e-19,5.522053107017145e-15,0.0
0.0,265.0,300.0,630.0,9.999999999999998e-21,1.0,0.999999999999995,5.43382065955366e-19,5.1248317970235755e-15,0.0
0.0,266.0,300.0,632.0,9.999999999999998e-21,1.0,0.9999999999999952,5.231474262545139e-19,4.758455746459859e-15,0.0
0.0,267.0,300.0,634.0,9.999999999999998e-21,1.0,0.9999999999999957,5.037971713200968e-19,4.4203628735249494e-15,0.0
0.0,268.0,300.0,636.0,9.999999999999998e-21,1.0,0.9999999999999959,4.85271500387804e-19,4.1082150551429294e-15,0.0
0.0,269.0,300.0,638.0,9.999999999999998e-21,1.0,0.9999999999999962,4.675828226993151e-19,3.819885514938358e-15,0.0
0.0,270.0,300.0,640.0,9.999999999999998e-21,1.0,0.9999999999999966,4.506377250562099e-19,3.553424185293017e-15,0.0
0.0,271.0,300.0,642.0,9.999999999999998e-21,1.0,0.9999999999999969,4.344022241598152e-19,3.3070552412892324e-15,0.0
0.0,272.0,300.0,644.0,9.999999999999998e-21,1.0,0.9999999999999969,4.1884395786161947e-19,3.079156114446949e-15,0.0
0.0,273.0,300.0,646.0,9.999999999999998e-21,1.0,0.9999999999999971,4.0391495227712246e-19,2.8682425964999328e-15,0.0
0.0,274.0,300.0,648.0,9.999999999999998e-21,1.0,0.9999999999999971,3.8960825542683547e-19,2.6729594338788796e-15,0.0
0.0,275.0,300.0,650.0,9.999999999999998e-21,1.0,0.9999999999999976,3.7589455669884393e-19,2.492065098365581e-15,0.0
0.0,276.0,300.0,652.0,9.999999999999998e-21,1.0,0.9999999999999979,3.627455702507611e-19,2.3244229819462578e-15,0.0
0.0,277.0,300.0,654.0,9.999999999999998e-21,1.0,0.999999999999998,3.5013541870827104e-19,2.168992094074594e-15,0.0
0.0,278.0,300.0,656.0,9.999999999999998e-21,1.0,0.9999999999999979,3.380389732184116e-19,2.0248184473452443e-15,0.0
0.0,279.0,300.0,658.0,9.999999999999998e-21,1.0,0.9999999999999982,3.2643241885876153e-19,1.8910274026078376e-15,0.0
0.0,280.0,300.0,660.0,9.999999999999998e-21,1.0,0.9999999999999984,3.1529318232275193e-19,1.7668166854388086e-15,0.0
0.0,281.0,300.0,662.0,9.999999999999998e-21,1.0,0.9999999999999983,3.0459985731439045e-19,1.6514500485568048e-15,0.0
0.0,282.0,300.0,664.0,9.999999999999998e-21,1.0,0.9999999999999984,2.9433213859580013e-19,1.5442515155605771e-15,0.0
0.0,283.0,300.0,666.0,9.999999999999998e-21,1.0,0.9999999999999988,2.844707565184853e-19,1.4446001581423022e-15,0.0
0.0,284.0,300.0,668.0,9.999999999999998e-21,1.0,0.9999999999999989,2.74997419698318e-19,1.3519253490847252e-15,0.0
0.0,285.0,300.0,670.0,9.999999999999998e-21,1.0,0.999999999999999,2.6589475905614233e-19,1.2657024424376135e-15,0.0
0.0,286.0,300.0,672.0,9.999999999999998e-21,1.0,0.9999999999999989,2.571462747999723e-19,1.1854488514250879e-15,0.0
0.0,287.0,300.0,674.0,9.999999999999998e-21,1.0,0.999999999999999,2.487362894873354e-19,1.1107204743960005e-15,0.0
0.0,288.0,300.0,676.0,9.999999999999998e-21,1.0,0.9999999999999991,2.4064990167553567e-19,1.0411084426458696e-15,0.0
0.0,289.0,300.0,678.0,9.999999999999998e-21,1.0,0.9999999999999993,2.328729428116475e-19,9.76236157084586e-16,0.0
0.0,290.0,300.0,680.0,9.999999999999998e-21,1.0,0.9999999999999991,2.253932375015082e-19,9.157565761705305e-16,0.0
0.0,291.0,300.0,682.0,9.999999999999998e-21,1.0,0.9999999999999992,2.181951827722466e-19,8.593498166607528e-16,0.0
0.0,292.0,300.0,684.0,9.999999999999998e-21,1.0,0.9999999999999992,2.112680867305674e-19,8.067208027093545e-16,0.0
0.0,293.0,300.0,686.0,9.999999999999998e-21,1.0,0.9999999999999994,2.046003355785447e-19,7.575972934193657e-16,0.0
0.0,294.0,300.0,688.0,9.999999999999998e-21,1.0,0.9999999999999992,1.9818087671616582e-19,7.117279914900311e-16,0.0
0.0,295.0,300.0,690.0,9.999999999999998e-21,1.0,0.9999999999999994,1.9199917239490223e-19,6.688808328254643e-16,0.0
0.0,296.0,300.0,692.0,9.999999999999998e-21,1.0,0.9999999999999993,1.8604518328749305e-19,6.288414262875162e-16,0.0
0.0,297.0,300.0,694.0,9.999999999999998e-21,1.0,0.9999999999999996,1.803093493456791e-19,5.914116243545592e-16,0.0
0.0,298.0,300.0,696.0,9.999999999999998e-21,1.0,0.9999999999999993,1.7478255866913178e-19,5.564082177409353e-16,0.0
0.0,299.0,300.0,698.0,9.999999999999998e-21,1.0,0.9999999999999994,1.694561236637555e-19,5.236617396631455e-16,0.0
0.0,300.0,300.0,700.0,9.999999999999998e-21,1.0,0.9999999999999994,1.6432176022271186e-19,4.93015371619802e-16,0.0
0.0,301.0,300.0,702.0,9.999999999999998e-21,1.0,0.9999999999999996,1.5937156641615117e-19,4.643239410856641e-16,0.0
0.0,302.0,300.0,704.0,9.999999999999998e-21,1.0,0.9999999999999996,1.545980034077995e-19,4.3745300314810696e-16,0.0
0.0,303.0,300.0,706.0,9.999999999999998e-21,1.0,0.9999999999999996,1.4999387677775077e-19,4.122779985757924e-16,0.0
