x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
1.501500000000000057e+01,6.752900000000000048e-03,8.694978316391880485e-03,8.694978316391880485e-03,8.703954341112036044e-03
1.540000000000000036e+01,6.949299999999999401e-03,9.051773049434443455e-03,9.051773049434443455e-03,9.061177838630371864e-03
1.578500000000000014e+01,7.181199999999999563e-03,9.415984499855185527e-03,9.415984499855185527e-03,9.425829077599602243e-03
1.617000000000000171e+01,7.450599999999999931e-03,9.787551438584691371e-03,9.787551438584691371e-03,9.797846505970536982e-03
1.655499999999999972e+01,7.761100000000000811e-03,1.016639424762840090e-02,1.016639424762840090e-02,1.017715012257643103e-02
1.694000000000000128e+01,8.113500000000000920e-03,1.055241457555185398e-02,1.055241457555185398e-02,1.056364112874354222e-02
1.732499999999999929e+01,8.505099999999999813e-03,1.094549348866361536e-02,1.094549348866361536e-02,1.095720006544523284e-02
1.771000000000000085e+01,8.938500000000000265e-03,1.134549059637364639e-02,1.134549059637364639e-02,1.135768594790177548e-02
1.809499999999999886e+01,9.411799999999999680e-03,1.175224275850378884e-02,1.175224275850378884e-02,1.176493495241577592e-02
1.848000000000000043e+01,9.917299999999998686e-03,1.216556267656904167e-02,1.216556267656904167e-02,1.217875902087057517e-02
1.886499999999999844e+01,1.045289999999999934e-02,1.258523831704631661e-02,1.258523831704631661e-02,1.259894526483708484e-02
1.925000000000000000e+01,1.101489999999999934e-02,1.301103072603536880e-02,1.301103072603536880e-02,1.302525378135447817e-02
1.963500000000000156e+01,1.160439999999999909e-02,1.344267385704831994e-02,1.344267385704831994e-02,1.345741748398156072e-02
2.001999999999999957e+01,1.222339999999999885e-02,1.387987228956073793e-02,1.387987228956073793e-02,1.389513979805593984e-02
2.040500000000000114e+01,1.286760000000000161e-02,1.432230122436276877e-02,1.432230122436276877e-02,1.433809467315862694e-02
2.078999999999999915e+01,1.352640000000000092e-02,1.476960407397921032e-02,1.476960407397921032e-02,1.478592415255303508e-02
2.117500000000000071e+01,1.419779999999999827e-02,1.522139178459024252e-02,1.522139178459024252e-02,1.523823770712884502e-02
2.155999999999999872e+01,1.488210000000000054e-02,1.567724243887816740e-02,1.567724243887816740e-02,1.569461182372378083e-02
2.194500000000000028e+01,1.557779999999999929e-02,1.613669916619958969e-02,1.613669916619958969e-02,1.615458791110387787e-02
2.232999999999999829e+01,1.627680000000000099e-02,1.659926956326809172e-02,1.659926956326809172e-02,1.661767172684228480e-02
2.271499999999999986e+01,1.697529999999999872e-02,1.706442494049179720e-02,1.706442494049179720e-02,1.708333262247050885e-02
2.310000000000000142e+01,1.767440000000000330e-02,1.753159970165752909e-02,1.753159970165752909e-02,1.755100291724230599e-02
2.348499999999999943e+01,1.838140000000000260e-02,1.800018995664447174e-02,1.800018995664447174e-02,1.802007649345610182e-02
2.387000000000000099e+01,1.908899999999999833e-02,1.846955310281491597e-02,1.846955310281491597e-02,1.848990841215281469e-02
2.425499999999999901e+01,1.979740000000000319e-02,1.893900763538712562e-02,1.893900763538712562e-02,1.895981470268309418e-02
