dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,1.950000000000000000e+02,1.166255801921014543e-25
0.000000000000000000e+00,1.960000000000000000e+02,1.111826690414618888e-25
0.000000000000000000e+00,1.970000000000000000e+02,1.060128504597052449e-25
0.000000000000000000e+00,1.980000000000000000e+02,1.011087408948516348e-25
0.000000000000000000e+00,1.990000000000000000e+02,1.063837126636034590e-25
0.000000000000000000e+00,2.000000000000000000e+02,9.529126589092368074e-26
0.000000000000000000e+00,2.010000000000000000e+02,1.096237331128092828e-25
0.000000000000000000e+00,2.020000000000000000e+02,1.507992609572109309e-25
0.000000000000000000e+00,2.030000000000000000e+02,1.885436459017770684e-25
0.000000000000000000e+00,2.040000000000000000e+02,2.234530821483398933e-25
0.000000000000000000e+00,2.050000000000000000e+02,2.556604827506119663e-25
0.000000000000000000e+00,2.060000000000000000e+02,2.853314184494277377e-25
0.000000000000000000e+00,2.070000000000000000e+02,3.126057045666050846e-25
0.000000000000000000e+00,2.080000000000000000e+02,3.376161894686845607e-25
0.000000000000000000e+00,2.090000000000000000e+02,3.604955540987092417e-25
0.000000000000000000e+00,2.100000000000000000e+02,3.813669597868039334e-25
0.000000000000000000e+00,2.110000000000000000e+02,4.003373254787406721e-25
0.000000000000000000e+00,2.120000000000000000e+02,4.175310470257386159e-25
0.000000000000000000e+00,2.130000000000000000e+02,4.330504740325543694e-25
0.000000000000000000e+00,2.140000000000000000e+02,4.469886559387063684e-25
0.000000000000000000e+00,2.150000000000000000e+02,4.594541711494476372e-25
0.000000000000000000e+00,2.160000000000000000e+02,4.705266428448011806e-25
0.000000000000000000e+00,2.170000000000000000e+02,4.803087146106925517e-25
0.000000000000000000e+00,2.180000000000000000e+02,4.888526534774734358e-25
0.000000000000000000e+00,2.190000000000000000e+02,4.962590864199172739e-25
0.000000000000000000e+00,2.200000000000000000e+02,5.025931518614356730e-25
0.000000000000000000e+00,2.210000000000000000e+02,5.079337256550293739e-25
0.000000000000000000e+00,2.220000000000000000e+02,5.114045650224139610e-25
0.000000000000000000e+00,2.230000000000000000e+02,5.131064730706748204e-25
0.000000000000000000e+00,2.240000000000000000e+02,5.142613623604490017e-25
0.000000000000000000e+00,2.250000000000000000e+02,5.149003602890913641e-25
0.000000000000000000e+00,2.260000000000000000e+02,5.150507217023581520e-25
0.000000000000000000e+00,2.270000000000000000e+02,5.132320156326199287e-25
0.000000000000000000e+00,2.280000000000000000e+02,4.999909057193376384e-25
0.000000000000000000e+00,2.290000000000000000e+02,4.870865832115415304e-25
0.000000000000000000e+00,2.300000000000000000e+02,4.745607438786374188e-25
0.000000000000000000e+00,2.310000000000000000e+02,4.623917615856874628e-25
0.000000000000000000e+00,2.320000000000000000e+02,4.505793207510146814e-25
0.000000000000000000e+00,2.330000000000000000e+02,4.391053993768309117e-25
0.000000000000000000e+00,2.340000000000000000e+02,4.279629717068102154e-25
0.000000000000000000e+00,2.350000000000000000e+02,4.171418606937922130e-25
0.000000000000000000e+00,2.360000000000000000e+02,4.066251684691860940e-25
0.000000000000000000e+00,2.370000000000000000e+02,3.964137107726568655e-25
0.000000000000000000e+00,2.380000000000000000e+02,3.864880128533851892e-25
0.000000000000000000e+00,2.390000000000000000e+02,3.768526536459250322e-25
0.000000000000000000e+00,2.400000000000000000e+02,3.674787030283394934e-25
0.000000000000000000e+00,2.410000000000000000e+02,3.583644012664013243e-25
0.000000000000000000e+00,2.420000000000000000e+02,3.495215997746533682e-25
0.000000000000000000e+00,2.430000000000000000e+02,3.409128849986431901e-25
0.000000000000000000e+00,2.440000000000000000e+02,3.325563860359194541e-25
0.000000000000000000e+00,2.450000000000000000e+02,3.244222176296819959e-25
0.000000000000000000e+00,2.460000000000000000e+02,3.165190754258520967e-25
0.000000000000000000e+00,2.470000000000000000e+02,3.088368696218958576e-25
0.000000000000000000e+00,2.480000000000000000e+02,3.013655381366335168e-25
0.000000000000000000e+00,2.490000000000000000e+02,2.940984268580330920e-25
0.000000000000000000e+00,2.500000000000000000e+02,2.870199383655875338e-25
0.000000000000000000e+00,2.510000000000000000e+02,2.801514288631159146e-25
0.000000000000000000e+00,2.520000000000000000e+02,2.734656660442608704e-25
0.000000000000000000e+00,2.530000000000000000e+02,2.669564750586385486e-25
0.000000000000000000e+00,2.540000000000000000e+02,2.606301863657537771e-25
0.000000000000000000e+00,2.550000000000000000e+02,2.544694110390467063e-25
0.000000000000000000e+00,2.560000000000000000e+02,2.484745279691227079e-25
0.000000000000000000e+00,2.570000000000000000e+02,2.426490602355549253e-25
0.000000000000000000e+00,2.580000000000000000e+02,2.369675497467990123e-25
0.000000000000000000e+00,2.590000000000000000e+02,2.314421963421988764e-25
0.000000000000000000e+00,2.600000000000000000e+02,2.260710720695836888e-25
0.000000000000000000e+00,2.610000000000000000e+02,2.208294609884946419e-25
0.000000000000000000e+00,2.620000000000000000e+02,2.157352217176753038e-25
0.000000000000000000e+00,2.630000000000000000e+02,2.107755716073064713e-25
0.000000000000000000e+00,2.640000000000000000e+02,2.059431523651831835e-25
0.000000000000000000e+00,2.650000000000000000e+02,2.012391829484784294e-25
0.000000000000000000e+00,2.660000000000000000e+02,1.966594626572237265e-25
0.000000000000000000e+00,2.670000000000000000e+02,1.921971444975031620e-25
0.000000000000000000e+00,2.680000000000000000e+02,1.878481588770292176e-25
0.000000000000000000e+00,2.690000000000000000e+02,1.836113484021832825e-25
0.000000000000000000e+00,2.700000000000000000e+02,1.794881139101474690e-25
0.000000000000000000e+00,2.710000000000000000e+02,1.754694903595309936e-25
0.000000000000000000e+00,2.720000000000000000e+02,1.715543008205633724e-25
0.000000000000000000e+00,2.730000000000000000e+02,1.677363685891531812e-25
0.000000000000000000e+00,2.740000000000000000e+02,1.640199201787486888e-25
0.000000000000000000e+00,2.750000000000000000e+02,1.604015016747358795e-25
0.000000000000000000e+00,2.760000000000000000e+02,1.568648971080948776e-25
0.000000000000000000e+00,2.770000000000000000e+02,1.534219899179723828e-25
0.000000000000000000e+00,2.780000000000000000e+02,1.500645741020613501e-25
0.000000000000000000e+00,2.790000000000000000e+02,1.467944162918256417e-25
0.000000000000000000e+00,2.800000000000000000e+02,1.436083660691178220e-25
0.000000000000000000e+00,2.810000000000000000e+02,1.404958470211294185e-25
0.000000000000000000e+00,2.820000000000000000e+02,1.374587649337813063e-25
0.000000000000000000e+00,2.830000000000000000e+02,1.345015592742068235e-25
0.000000000000000000e+00,2.840000000000000000e+02,1.316261496769668516e-25
0.000000000000000000e+00,2.850000000000000000e+02,1.288077828927284417e-25
0.000000000000000000e+00,2.860000000000000000e+02,1.260676542078452818e-25
0.000000000000000000e+00,2.870000000000000000e+02,1.233887205205531612e-25
0.000000000000000000e+00,2.880000000000000000e+02,1.207753038583885280e-25
0.000000000000000000e+00,2.890000000000000000e+02,1.182294782432714306e-25
0.000000000000000000e+00,2.900000000000000000e+02,1.157391533550679554e-25
0.000000000000000000e+00,2.910000000000000000e+02,1.133157254749639007e-25
0.000000000000000000e+00,2.920000000000000000e+02,1.109496354362547638e-25
0.000000000000000000e+00,2.930000000000000000e+02,1.086405861281354366e-25
0.000000000000000000e+00,2.940000000000000000e+02,1.063860519582992225e-25
0.000000000000000000e+00,2.950000000000000000e+02,1.041835397983960501e-25
0.000000000000000000e+00,2.960000000000000000e+02,1.020374429775000273e-25
0.000000000000000000e+00,2.970000000000000000e+02,9.993853036894296016e-26
0.000000000000000000e+00,2.980000000000000000e+02,9.789113869751418486e-26
0.000000000000000000e+00,2.990000000000000000e+02,9.589067431936978401e-26
0.000000000000000000e+00,3.000000000000000000e+02,9.394370166441017322e-26
0.000000000000000000e+00,3.010000000000000000e+02,9.203455927495765207e-26
0.000000000000000000e+00,3.020000000000000000e+02,9.016753566736763623e-26
0.000000000000000000e+00,3.030000000000000000e+02,8.835585466784280842e-26
0.000000000000000000e+00,3.040000000000000000e+02,8.657751653511024122e-26
0.000000000000000000e+00,3.050000000000000000e+02,8.484548247676910691e-26
0.000000000000000000e+00,3.060000000000000000e+02,8.315107925990785203e-26
0.000000000000000000e+00,3.070000000000000000e+02,8.149638993424313935e-26
0.000000000000000000e+00,3.080000000000000000e+02,7.987496109371731611e-26
0.000000000000000000e+00,3.090000000000000000e+02,7.829749817640806675e-26
0.000000000000000000e+00,3.100000000000000000e+02,7.675335955872270790e-26
0.000000000000000000e+00,3.110000000000000000e+02,7.524246983448538571e-26
0.000000000000000000e+00,3.120000000000000000e+02,7.376910240751998350e-26
0.000000000000000000e+00,3.130000000000000000e+02,7.232696682951626797e-26
0.000000000000000000e+00,3.140000000000000000e+02,7.092233789458514319e-26
0.000000000000000000e+00,3.150000000000000000e+02,6.954271774979793214e-26
0.000000000000000000e+00,3.160000000000000000e+02,6.819848738625906291e-26
0.000000000000000000e+00,3.170000000000000000e+02,6.688147373506353939e-26
0.000000000000000000e+00,3.180000000000000000e+02,6.559989536521129384e-26
0.000000000000000000e+00,3.190000000000000000e+02,6.433944457323812887e-26
0.000000000000000000e+00,3.200000000000000000e+02,6.310831068410147744e-26
0.000000000000000000e+00,3.210000000000000000e+02,6.190455019976474084e-26
0.000000000000000000e+00,3.220000000000000000e+02,6.073224638661804276e-26
0.000000000000000000e+00,3.230000000000000000e+02,5.957729828375818470e-26
0.000000000000000000e+00,3.240000000000000000e+02,5.845581605442872283e-26
0.000000000000000000e+00,3.250000000000000000e+02,5.735389221544496558e-26
0.000000000000000000e+00,3.260000000000000000e+02,5.627949098064650242e-26
0.000000000000000000e+00,3.270000000000000000e+02,5.522474143546248728e-26
0.000000000000000000e+00,3.280000000000000000e+02,5.419560747474402046e-26
0.000000000000000000e+00,3.290000000000000000e+02,5.318822057328977744e-26
0.000000000000000000e+00,3.300000000000000000e+02,5.220260616541208629e-26
0.000000000000000000e+00,3.310000000000000000e+02,5.123882244428792290e-26
0.000000000000000000e+00,3.320000000000000000e+02,5.029104642693427428e-26
0.000000000000000000e+00,3.330000000000000000e+02,4.936904631567698205e-26
0.000000000000000000e+00,3.340000000000000000e+02,4.846323038957695231e-26
0.000000000000000000e+00,3.350000000000000000e+02,4.757937503614960601e-26
0.000000000000000000e+00,3.360000000000000000e+02,4.671369852944879975e-26
0.000000000000000000e+00,3.370000000000000000e+02,4.586812883368242452e-26
0.000000000000000000e+00,3.380000000000000000e+02,4.503506867883207633e-26
0.000000000000000000e+00,3.390000000000000000e+02,4.422596730313849301e-26
0.000000000000000000e+00,3.400000000000000000e+02,4.342570476625755617e-26
0.000000000000000000e+00,3.410000000000000000e+02,4.264563048307357364e-26
0.000000000000000000e+00,3.420000000000000000e+02,4.188204571716541189e-26
0.000000000000000000e+00,3.430000000000000000e+02,4.113870821063287561e-26
0.000000000000000000e+00,3.440000000000000000e+02,4.040625944256048083e-26
0.000000000000000000e+00,3.450000000000000000e+02,3.969216260814984681e-26
0.000000000000000000e+00,3.460000000000000000e+02,3.898714576907355194e-26
0.000000000000000000e+00,3.470000000000000000e+02,3.830234822727750246e-26
0.000000000000000000e+00,3.480000000000000000e+02,3.762854726999994909e-26
0.000000000000000000e+00,3.490000000000000000e+02,3.696755354824104531e-26
0.000000000000000000e+00,3.500000000000000000e+02,3.632491517866955360e-26
0.000000000000000000e+00,3.510000000000000000e+02,3.568961604663363554e-26
0.000000000000000000e+00,3.520000000000000000e+02,3.507075723038199024e-26
0.000000000000000000e+00,3.530000000000000000e+02,3.446655274887334559e-26
0.000000000000000000e+00,3.540000000000000000e+02,3.386967387292738697e-26
0.000000000000000000e+00,3.550000000000000000e+02,3.328372157394644598e-26
0.000000000000000000e+00,3.560000000000000000e+02,3.270870403111425518e-26
0.000000000000000000e+00,3.570000000000000000e+02,3.215360517799064631e-26
0.000000000000000000e+00,3.580000000000000000e+02,3.160042768072780676e-26
0.000000000000000000e+00,3.590000000000000000e+02,3.107055864830188544e-26
0.000000000000000000e+00,3.600000000000000000e+02,3.053723944478827806e-26
0.000000000000000000e+00,3.610000000000000000e+02,3.001992386448111579e-26
0.000000000000000000e+00,3.620000000000000000e+02,2.951155764127275244e-26
0.000000000000000000e+00,3.630000000000000000e+02,2.901558138882352505e-26
0.000000000000000000e+00,3.640000000000000000e+02,2.852840139407957994e-26
0.000000000000000000e+00,3.650000000000000000e+02,2.805170764853005477e-26
0.000000000000000000e+00,3.660000000000000000e+02,2.758718289133414036e-26
0.000000000000000000e+00,3.670000000000000000e+02,2.712423436335296106e-26
0.000000000000000000e+00,3.680000000000000000e+02,2.667324920662970487e-26
0.000000000000000000e+00,3.690000000000000000e+02,2.622895239534319237e-26
0.000000000000000000e+00,3.700000000000000000e+02,2.579993959557646684e-26
0.000000000000000000e+00,3.710000000000000000e+02,2.537397656606198926e-26
0.000000000000000000e+00,3.720000000000000000e+02,2.495956708195033134e-26
0.000000000000000000e+00,3.730000000000000000e+02,2.454974391111173996e-26
0.000000000000000000e+00,3.740000000000000000e+02,2.414781373683451326e-26
0.000000000000000000e+00,3.750000000000000000e+02,2.375539320276956310e-26
0.000000000000000000e+00,3.760000000000000000e+02,2.336893839318916039e-26
0.000000000000000000e+00,3.770000000000000000e+02,2.299344047591480617e-26
0.000000000000000000e+00,3.780000000000000000e+02,2.261685514850119554e-26
0.000000000000000000e+00,3.790000000000000000e+02,2.225600467475175970e-26
0.000000000000000000e+00,3.800000000000000000e+02,2.189554641061696724e-26
0.000000000000000000e+00,3.810000000000000000e+02,2.154542469073460507e-26
0.000000000000000000e+00,3.820000000000000000e+02,2.120216348238895265e-26
